"","correctYea","wrongYea","wrongNay","correctNay","GMP","PRE","spread1D","spread2D","midpoint1D","midpoint2D"
"910",61,4,3,33,0.813876092433929,0.810810810810811,-0.375401109457016,0.028951246291399,-0.156213521957397,0.721500098705292
"911",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"912",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"913",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"914",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"915",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"916",61,5,5,47,0.815386772155762,0.807692307692308,0.346363484859467,0.341711699962616,0.21629624068737,-0.145331084728241
"917",0,0,4,113,0.883517384529114,0,1,0,-1,0
"918",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"919",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"920",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"921",132,6,0,0,0.867046475410461,0,0.790000021457672,0,1,0
"922",132,8,0,0,0.833554267883301,0,0.580000042915344,0,1,0
"923",30,21,10,65,0.651445031166077,0.225,-0.226622238755226,0.0909719839692116,0.565682053565979,-0.0402540750801563
"924",0,0,18,111,0.648170411586761,0,-0.200000047683716,0,1,0
"925",107,4,4,20,0.815767645835876,0.666666666666667,0.669727027416229,0.355491936206818,0.795105695724487,0.068434827029705
"926",93,3,6,32,0.864980816841125,0.742857142857143,1.68637132644653,-0.199153587222099,0.686371266841888,0.0943796634674072
"927",27,19,14,69,0.648303687572479,0.195121951219512,-0.216408759355545,-0.0187775734812021,0.51251095533371,0.843695402145386
"928",105,4,3,18,0.803942739963531,0.681818181818182,0.489831686019897,0.350091427564621,0.82703298330307,0.0963815227150917
"929",123,13,0,0,0.743587255477905,0,0.319999992847443,0,1,0
"930",96,9,3,22,0.711355030536652,0.612903225806452,0.293082684278488,0.18464919924736,0.752936184406281,0.0828831493854523
"931",97,13,0,17,0.715237855911255,0.566666666666667,0.309287071228027,0.0358883552253246,0.755167305469513,0.655532121658325
"932",65,6,8,50,0.746225655078888,0.75,-0.309499174356461,0.114721231162548,-0.21703614294529,0.0605175085365772
"933",64,4,6,52,0.84479832649231,0.821428571428571,0.487865805625916,-0.15270759165287,0.181628629565239,-0.156741037964821
"934",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"935",43,14,7,62,0.699700117111206,0.58,-0.270224332809448,0.123206853866577,0.274572163820267,-0.109910227358341
"936",127,6,0,0,0.864345550537109,0,0.810000002384186,0,1,0
"937",120,3,9,3,0.877110540866852,-1,0.350000023841858,-3.22244000434875,-0.356107354164124,-0.649286448955536
"938",75,7,18,37,0.720028281211853,0.431818181818182,0.339390397071838,-0.00480407709255815,0.527447402477264,0.817138433456421
"939",70,6,14,38,0.736833214759827,0.545454545454545,0.342846155166626,-0.14563974738121,0.46714186668396,-0.0336593650281429
"940",72,5,14,41,0.743898868560791,0.58695652173913,0.36754521727562,-0.00309601379558444,0.444766759872437,0.736105978488922
"941",74,5,15,37,0.746867775917053,0.523809523809524,0.376072883605957,-0.114507429301739,0.511876404285431,-0.00350641971454024
"942",33,17,8,70,0.667981207370758,0.390243902439024,-0.257999897003174,0.00776794785633683,0.565082311630249,0.349555850028992
"943",84,7,14,30,0.724496185779572,0.432432432432432,0.363188892602921,-0.056922510266304,0.630053639411926,-0.0355374105274677
"944",129,4,3,1,0.885284900665283,-0.4,0.400000035762787,-3.37291789054871,-0.188838869333267,-0.700079262256622
"945",125,5,6,1,0.874411404132843,-0.833333333333333,0.350000023841858,-3.24080276489258,-0.210110872983932,-0.666711807250977
"946",102,7,2,21,0.733021438121796,0.678571428571429,0.326382637023926,0.202802613377571,0.799242198467255,0.0792127922177315
"947",99,8,3,22,0.716354072093964,0.633333333333333,0.283536076545715,0.221616059541702,0.757760047912598,0.0520882830023766
"948",61,16,16,33,0.604166030883789,0.346938775510204,0.163333013653755,0.116770163178444,0.406875908374786,-0.0683315023779869
"949",38,18,9,63,0.637555360794067,0.425531914893617,-0.210983470082283,-0.0212321486324072,0.455158025026321,-0.486486464738846
"950",98,5,3,22,0.755986332893372,0.703703703703704,0.37807497382164,0.302694439888,0.79262363910675,0.0563483126461506
"951",74,1,3,61,0.890958547592163,0.935483870967742,-0.598982334136963,3.40075857820921e-05,-0.299348890781403,0.310355991125107
"952",75,0,0,52,0.996024310588837,1,-1.57044541835785,0.653257071971893,-0.318178564310074,-0.901748478412628
"953",71,1,0,58,0.980153322219849,0.983050847457627,-1.03977739810944,-0.213946118950844,-0.0397773906588554,-0.610814809799194
"954",74,0,2,49,0.948767483234406,0.959183673469388,-1.58587265014648,0.509474456310272,-0.52400803565979,-0.422658979892731
"955",74,1,0,52,0.975197196006775,0.981132075471698,-1.05485701560974,-0.196099311113358,-0.0548569858074188,-0.742907583713531
"956",125,7,0,0,0.734414339065552,0,-0.319999933242798,0,-1,0
"957",18,7,21,84,0.633977830410004,0.282051282051282,-0.177387893199921,0.210031226277351,0.660058677196503,-0.0989508479833603
"958",95,4,2,23,0.819817721843719,0.777777777777778,0.557652354240417,0.454031616449356,0.754601836204529,0.0368369370698929
"959",0,0,7,123,0.771151006221771,0,0.410000085830688,0,-1,0
